ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
0.14,0.20,-1.06,-0.41,154.16,7.34,-0.17,0.89,0.38,3.50,-2.45,0.24,1764277164.771375
0.08,0.17,-0.87,-4.20,137.34,6.56,-0.19,0.90,0.42,3.12,-1.77,-1.65,1764277164.7882001
0.18,0.20,-0.98,-1.60,122.51,6.92,-0.20,0.91,0.42,3.97,-1.05,-2.03,1764277164.806003
0.20,0.13,-1.00,-3.78,122.14,8.02,-0.20,0.91,0.43,3.08,0.44,-1.63,1764277164.8245196
0.21,0.14,-0.80,-8.38,102.23,5.35,-0.21,0.91,0.44,3.85,-0.34,-1.56,1764277164.845711
0.25,0.15,-0.92,-5.95,78.70,7.95,-0.22,0.91,0.42,5.11,-0.99,-1.68,1764277164.8641045
0.28,0.13,-0.96,-2.15,70.14,6.18,-0.22,0.90,0.41,5.04,1.18,-0.82,1764277164.879158
0.32,0.13,-0.81,-4.79,58.44,4.21,-0.22,0.89,0.40,4.88,1.92,-1.08,1764277164.895699
0.33,0.15,-0.80,-1.02,33.78,4.95,-0.21,0.89,0.40,5.76,1.01,-1.46,1764277164.9144325
0.38,0.14,-0.85,-1.22,26.66,7.60,-0.20,0.89,0.39,3.34,1.27,-1.08,1764277164.9317172
0.37,0.13,-0.69,-1.78,7.27,2.44,-0.20,0.89,0.40,1.94,2.60,-0.78,1764277164.950231
0.36,0.16,0.17,7.51,-106.74,7.19,-0.17,0.91,0.38,4.35,5.85,0.71,1764277164.9696934
0.00,0.13,1.00,41.85,-250.14,14.44,-0.18,0.91,0.38,-1.77,-1.33,-2.58,1764277164.9865339
-0.64,0.12,-1.36,31.03,-250.14,32.47,-0.18,0.87,0.40,-15.75,-0.62,-12.99,1764277165.003819
-0.68,-0.13,-2.00,-17.06,-250.14,-17.99,-0.26,0.90,0.47,-11.41,12.42,-15.21,1764277165.0218048
-0.28,0.37,-1.86,-9.03,-250.14,-6.24,-0.21,0.93,0.45,1.00,12.04,-12.73,1764277165.0402849
-0.29,0.13,-1.52,-1.92,-198.55,1.00,-0.21,0.91,0.46,5.30,7.68,-9.16,1764277165.0594866
-0.34,0.08,-1.43,-0.48,-62.16,5.39,-0.24,0.91,0.46,5.98,-0.40,-1.05,1764277165.081238
-0.45,0.10,-1.20,-0.82,40.59,5.91,-0.24,0.91,0.44,11.01,-6.45,4.48,1764277165.0966582
-0.34,0.14,-1.22,3.03,105.63,2.05,-0.22,0.89,0.40,12.71,-6.07,4.50,1764277165.1126812
-0.34,0.11,-1.58,9.16,216.06,-3.60,-0.21,0.90,0.41,16.40,-3.89,5.46,1764277165.1301737
-0.33,0.13,-1.35,5.76,250.13,-5.49,-0.22,0.89,0.41,18.82,-4.02,6.55,1764277165.1476562
-0.22,0.15,-0.97,5.40,250.13,-2.07,-0.19,0.88,0.40,16.02,-4.82,6.31,1764277165.167232
-0.08,0.16,-0.73,-4.50,250.13,2.15,-0.20,0.89,0.38,11.12,-6.18,5.36,1764277165.1869533
0.00,0.13,-0.57,-12.95,233.66,3.93,-0.22,0.89,0.38,5.27,-4.18,2.99,1764277165.202763
0.09,0.14,-0.73,-14.79,166.11,2.01,-0.22,0.90,0.38,4.40,-1.12,-0.09,1764277165.2203538
0.15,0.14,-0.98,-8.62,137.27,0.61,-0.22,0.90,0.39,4.22,1.63,-2.34,1764277165.2385492
0.20,0.15,-0.96,-7.50,133.98,4.77,-0.21,0.91,0.40,4.54,2.40,-2.91,1764277165.2567246
0.23,0.11,-0.79,-8.47,106.33,5.24,-0.23,0.91,0.41,4.53,0.58,-1.02,1764277165.2776873
0.29,0.13,-0.91,-7.25,82.72,7.44,-0.22,0.91,0.40,3.95,-1.20,0.53,1764277165.295984
0.29,0.10,-0.85,-8.89,65.84,6.23,-0.22,0.91,0.41,3.33,-0.74,0.69,1764277165.3114939
0.32,0.17,-0.85,-5.91,44.52,2.77,-0.21,0.90,0.41,5.11,0.08,-0.21,1764277165.3293939
0.33,0.17,-0.90,-1.92,30.31,5.35,-0.20,0.91,0.40,5.41,1.38,-1.53,1764277165.346049
0.35,0.17,-0.99,1.21,29.20,4.82,-0.20,0.90,0.40,5.64,1.08,-1.89,1764277165.364539
